"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"158","Engraulidae","AT14-2-2",2.047755404,2047.755404,"Sub Recent","Bocas","Punta Donato","orig_df",1.071220691,7.2117381063191
"159","Engraulidae","AT14-1-2",2.049119021,2049.119021,"Sub Recent","Bocas","Casa Blanca","orig_df",1.287070318,7.21709654290177
"160","Engraulidae","AT14-2-2",2.059864996,2059.864996,"Sub Recent","Bocas","Punta Donato","orig_df",1.411285134,7.25933809169193
"161","Engraulidae","AT14-1-2",2.068315484,2068.315484,"Sub Recent","Bocas","Casa Blanca","orig_df",1.117495538,7.2925741966152
"162","Engraulidae","AT14-1-2",2.06847298,2068.47298,"Sub Recent","Bocas","Casa Blanca","orig_df",1.061102868,7.29319378405261
"163","Engraulidae","AT14-3-1",2.095029332,2095.029332,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.287478735,7.39774396058675
"164","Engraulidae","AT14-3-1",2.144358141,2144.358141,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.33829699,7.59235356239633
"165","Engraulidae","AT14-1-2",2.155882707,2155.882707,"Sub Recent","Bocas","Casa Blanca","orig_df",1.4513266,7.63789488304634
"166","Engraulidae","AT14-2-2",2.201602312,2201.602312,"Sub Recent","Bocas","Punta Donato","orig_df",1.154777782,7.81884027082635
"167","Engraulidae","AT14-2-2",2.226526513,2226.526513,"Sub Recent","Bocas","Punta Donato","orig_df",1.116015549,7.91766720325703
"168","Engraulidae","AT14-2-2",2.361219018,2361.219018,"Sub Recent","Bocas","Punta Donato","orig_df",1.397833647,8.4539223617411
"169","Engraulidae","AT14-2-2",2.380814445,2380.814445,"Sub Recent","Bocas","Punta Donato","orig_df",1.724293443,8.53223860292712
"170","Engraulidae","AT13-10-1-1",2.405554924,2405.554924,"Sub Recent","Bocas","Punta Caracol","orig_df",1.417208227,8.63122441553747
"171","Engraulidae","AT14-2-2",2.435383131,2435.383131,"Sub Recent","Bocas","Punta Donato","orig_df",1.178804083,8.7507227328998
"172","Engraulidae","AT14-2-2",2.504216802,2504.216802,"Sub Recent","Bocas","Punta Donato","orig_df",1.674913522,9.02712948696226
"173","Engraulidae","AT14-2-2",2.671293781,2671.293781,"Sub Recent","Bocas","Punta Donato","orig_df",1.747031537,9.70166266939224
"174","Engraulidae","AT14-2-2",2.900392734,2900.392734,"Sub Recent","Bocas","Punta Donato","orig_df",1.802913017,10.6345149784813
"175","Gerreidae","AT13-12-4-2",0.98320843,983.2084303,"Sub Recent","Bocas","Casa Blanca","orig_df",0.7217050023,2.67689249481551
"176","Gerreidae","AT13-12-4-2",1.28726986,1287.26986,"Sub Recent","Bocas","Casa Blanca","orig_df",0.8991814462,3.54565088060333
"177","Gerreidae","AT13-12-1-1",1.567334875,1567.334875,"Sub Recent","Bocas","Casa Blanca","orig_df",1.122261679,4.35382438725426
"178","Gerreidae","AT13-12-4-2",2.033410309,2033.410309,"Sub Recent","Bocas","Casa Blanca","orig_df",1.440639001,5.71221501706442
"179","Gerreidae","AT13-12-1-1",3.443870649,3443.870649,"Sub Recent","Bocas","Casa Blanca","orig_df",2.198865628,9.8965379640819
"180","Gobiidae","AT14-2-2",0.607489825,607.4898252,"Sub Recent","Bocas","Punta Donato","orig_df",0.5389617248,1.56169060369341
"181","Gobiidae","AT14-2-2",0.64669726,646.6972604,"Sub Recent","Bocas","Punta Donato","orig_df",0.6638111708,1.66907035119804
"182","Gobiidae","AT14-2-2",0.648851015,648.8510153,"Sub Recent","Bocas","Punta Donato","orig_df",0.7754351765,1.67498114092185
"183","Gobiidae","AT14-2-1",0.649196822,649.1968219,"Sub Recent","Bocas","Punta Donato","orig_df",0.7046639994,1.67593029329489
"184","Gobiidae","AT14-2-2",0.649242366,649.2423662,"Sub Recent","Bocas","Punta Donato","orig_df",0.4837612161,1.67605530238883
"185","Gobiidae","AT14-2-2",0.649737337,649.7373365,"Sub Recent","Bocas","Punta Donato","orig_df",0.7525487021,1.67741393370502
"186","Gobiidae","AT14-2-2",0.681145316,681.1453158,"Sub Recent","Bocas","Punta Donato","orig_df",0.5965879232,1.76375667227787
"187","Gobiidae","AT14-2-2",0.682453717,682.4537171,"Sub Recent","Bocas","Punta Donato","orig_df",0.7131480541,1.76735910625638
"188","Gobiidae","AT14-2-2",0.688217376,688.217376,"Sub Recent","Bocas","Punta Donato","orig_df",0.7137303157,1.78323343736975
"189","Gobiidae","AT14-2-1",0.694305124,694.3051244,"Sub Recent","Bocas","Punta Donato","orig_df",0.5972566783,1.80000950832711
"190","Gobiidae","AT14-2-1",0.694383826,694.383826,"Sub Recent","Bocas","Punta Donato","orig_df",0.6423245963,1.80022644933905
